current_datetime,elapsed_time,ping_time
2025-03-31 12:12:33,0.31,45.243
2025-03-31 12:12:36,3.39,36.796
2025-03-31 12:12:39,6.39,43.772
2025-03-31 12:12:42,9.39,49.274
2025-03-31 12:12:45,12.39,52.926
2025-03-31 12:12:48,15.39,51.242
2025-03-31 12:12:51,18.39,56.286
2025-03-31 12:12:54,21.39,84.591
2025-03-31 12:12:57,24.39,39.355
2025-03-31 12:13:00,27.39,43.464
2025-03-31 12:13:03,30.39,53.39
2025-03-31 12:13:06,33.39,37.917
2025-03-31 12:13:09,36.39,37.622
2025-03-31 12:13:12,39.39,42.402
2025-03-31 12:13:15,42.39,41.248
2025-03-31 12:13:18,45.39,49.466
2025-03-31 12:13:21,48.39,49.58
2025-03-31 12:13:24,51.39,42.385
2025-03-31 12:13:27,54.39,49.222
2025-03-31 12:13:30,57.39,50.629
2025-03-31 12:13:33,60.39,35.582
2025-03-31 12:13:36,63.39,44.356
2025-03-31 12:13:39,66.39,39.557
2025-03-31 12:13:42,69.38,51.555
2025-03-31 12:13:45,72.39,49.517
